state,color,move,player
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 68402851746938880, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 63916844305612800, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(205566720, 129, 2097154, 36, 8, 16, 63916844305612800, 9295429630892703744, 4613937818241073152, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 68402851746938880, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 68402851746938880, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(205566720, 129, 2097154, 36, 8, 16, 63916844305612800, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(205566720, 129, 2097154, 16388, 8, 16, 63916844305612800, 9295429630892703744, 4613937818241073152, 2305843146652647424, 576460752303423488, 1152921504606846976)",0,e1g1,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(205566720, 129, 2097154, 36, 8, 16, 64757970700861440, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(205566720, 129, 2097154, 16388, 8, 16, 64757970700861440, 9295429630892703744, 144150372447944704, 288230376185266176, 576460752303423488, 1152921504606846976)",0,c1d2,human
"(205566720, 129, 2097154, 16384, 8, 16, 64757970700861440, 9295429630892703744, 144150372447944704, 288230376151713792, 576460752303423488, 1152921504606846976)",0,b1d2,human
"(205566720, 129, 2099200, 16384, 8, 16, 64197219770695680, 9295429630892703744, 144150372447944704, 288230376151711744, 576460752303423488, 1152921504606846976)",0,e1g1,human
"(205566720, 33, 2099200, 16384, 8, 64, 64197219770695680, 9295429630892703744, 144150372447944704, 562949953421312, 576460752303423488, 1152921504606846976)",0,a1c1,human
"(205566720, 36, 2099200, 16384, 8, 64, 63071337043722240, 9295429630892703744, 144150372447944704, 562949953421312, 576460752303423488, 1152921504606846976)",0,d4c5,human
"(17184109312, 36, 2099200, 16384, 8, 64, 63071285571223552, 9295429630892703744, 144150372447944704, 562949953421312, 576460752303423488, 1152921504606846976)",0,c5b6,human
