state,color,move,player
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c1f4,human
"(134280960, 129, 66, 536870944, 8, 16, 69533115340554240, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,b1c3,human
"(134280960, 129, 262208, 536870944, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e2e4,human
"(402712320, 129, 262208, 536870944, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 306244774661193728, 576460752303423488, 1152921504606846976)",0,d1d2,human
"(402712320, 129, 262208, 536870944, 2048, 16, 51589085575249920, 2377900603251621888, 144150372447944704, 306244774661193728, 576460752303423488, 4611686018427387904)",0,f4h6,human
"(402712320, 129, 262208, 140737488355360, 2048, 16, 51589085575249920, 2377900603251621888, 39582418599936, 306244774661193728, 576460752303423488, 4611686018427387904)",0,h6g7,human
"(402712320, 129, 262208, 32, 2048, 16, 51589085575249920, 2377900603251621888, 39582418599936, 288230376151711744, 576460752303423488, 18014398509481984)",0,e1c1,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,bot
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c1f4,human
"(134280960, 129, 66, 536870944, 8, 16, 69524353607270400, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e2e3,human
"(135325440, 129, 66, 536870944, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(135325440, 129, 2097154, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c3,human
"(135586560, 129, 2097154, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,b1d2,human
"(135586560, 129, 2099200, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",0,f4g3,human
"(135586560, 129, 2099200, 4194336, 8, 16, 63912463438970880, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",0,f1d3,human
"(135586560, 129, 2099200, 4718592, 8, 16, 63912463438970880, 1224979098644774912, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",0,f3e5,human
"(1368832, 129, 68719478784, 4718592, 8, 16, 63912446393319424, 1224979098644774912, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",0,e3d4,human
"(134537984, 129, 68719478784, 4718592, 8, 16, 63912446259101696, 1224979098644774912, 39582418599936, 289356276058554368, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(134537984, 33, 68719478784, 4718592, 8, 64, 63912446259101696, 1224979098644774912, 2256197860196352, 289356276058554368, 576460752303423488, 4611686018427387904)",0,d3h7,human
"(134537984, 33, 68719478784, 36028797023158272, 8, 64, 27883649240137728, 1224979098644774912, 2256197860196352, 289356276058554368, 576460752303423488, 2305843009213693952)",0,f2f4,human
"(671400704, 33, 68719478784, 36028797023158272, 8, 64, 27883649240137728, 1224979098644774912, 39582418599936, 289356276058554368, 576460752303423488, 2305843009213693952)",0,h7d3,human
"(671400704, 33, 68719478784, 4718592, 8, 64, 27883649240137728, 1224979098644774912, 4611690416473899008, 289356276058554368, 576460752303423488, 2305843009213693952)",0,d1h5,human
"(671400704, 33, 68719478784, 4718592, 549755813888, 64, 9939619474833408, 1224979098644774912, 4611690416473899008, 289356276058554368, 576460752303423488, 2305843009213693952)",0,d3g6,human
"(671400704, 33, 68719478784, 4194304, 549755813888, 64, 932420220092416, 1224979098644774912, 4611690416473899008, 289356276058554368, 576460752303423488, 2305843009213693952)",0,h5h7,human
"(671400704, 33, 68719478784, 4194304, 36028797018963968, 64, 932420220092416, 1224979098644774912, 4611690416473899008, 289356276058554368, 35184372088832, 2305843009213693952)",0,e5g6,human
"(671400704, 33, 2048, 4194304, 36028797018963968, 64, 862051475914752, 1224979098644774912, 4611690416473899008, 289356276058554368, 70368744177664, 2305843009213693952)",0,h7g6,human
"(671400704, 33, 2048, 4194304, 70368744177664, 64, 862051475914752, 76561193665298432, 4611690416473899008, 289356276058554368, 0, 2305843009213693952)",0,f4f5,human
"(137573483264, 33, 2048, 0, 70368744177664, 64, 862051475914752, 76561193665298432, 4611690416473899008, 288230376155906048, 0, 2305843009213693952)",0,f5e6,human
"(17592320574208, 33, 2048, 0, 70368744177664, 64, 844459289870336, 81064793292668928, 4611690416473899008, 288230376155906048, 0, 2305843009213693952)",0,g6f7,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c1f4,human
"(134280960, 129, 66, 536870944, 8, 16, 69524353607270400, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e2e3,human
"(135325440, 129, 66, 536870944, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(135325440, 129, 2097154, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c3,human
"(135586560, 129, 2097154, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,b1d2,human
"(135586560, 129, 2099200, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",0,f4g3,human
"(135586560, 129, 2099200, 4194336, 8, 16, 63912463438970880, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",0,f1d3,human
