state,color,move,player
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d2d4,human
"(134280960, 129, 66, 536870944, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c1f4,human
"(135325440, 129, 66, 536870944, 8, 16, 69524353607270400, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,e2e3,human
"(135586560, 129, 66, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c2c3,human
"(135586560, 129, 2097154, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,g1f3,human
"(135586560, 129, 2099200, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,b1d2,human
"(135586560, 129, 2099200, 4194336, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",1,f4g3,human
"(135586560, 129, 2099200, 4718592, 8, 16, 63912463438970880, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,f1d3,human
"(135586560, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,d1e2,human
"(402973440, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 571746046443520, 576460752303423488, 4611686018427387904)",1,e3e4,human
"(68854014720, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 5066549580791808, 576460752303423488, 4611686018427387904)",1,e4e5,human
"(71001465600, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 4947802324992, 5066549580791808, 576460752303423488, 4611686018427387904)",1,h2h4,human
"(71005651712, 129, 2099200, 524288, 4096, 16, 63351712508805120, 2377900603251621888, 4398046511104, 5066549580791808, 576460752303423488, 4611686018427387904)",1,f2g3,human
"(71005651712, 129, 2099200, 36028797018963968, 4096, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 4611686018427387904)",1,d3h7,human
"(71005651712, 129, 274877908992, 0, 4096, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 36028797018963968)",1,f3g5,human
"(71005651712, 129, 274877908992, 0, 524288, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 140737488355328)",1,e2d3,human
"(618613981952, 129, 274877908992, 0, 524288, 16, 9378885724536832, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 140737488355328)",1,h4h5,human
"(68858168064, 129, 274877908992, 0, 36028797018963968, 16, 9309066736173056, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 140737488355328)",1,d3h7,human
"(68858168064, 129, 2048, 0, 549755813888, 16, 9308516980359168, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 274877906944)",1,h7h5,human
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d2d4,human
"(134280960, 129, 66, 536870944, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c1f4,human
"(135325440, 129, 66, 536870944, 8, 16, 69524353607270400, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,e2e3,human
"(135586560, 129, 66, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c2c3,human
"(135586560, 129, 2097154, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,g1f3,human
"(135586560, 129, 2099200, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,b1d2,human
"(135586560, 129, 2099200, 4194336, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",1,f4g3,human
"(135586560, 129, 2099200, 4718592, 8, 16, 63912463438970880, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,f1d3,human
"(135586560, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,d1e2,human
"(402973440, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 571746046443520, 576460752303423488, 4611686018427387904)",1,e3e4,human
"(68854014720, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 5066549580791808, 576460752303423488, 4611686018427387904)",1,e4e5,human
"(71001465600, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 4947802324992, 5066549580791808, 576460752303423488, 4611686018427387904)",1,h2h4,human
"(71005651712, 129, 2099200, 524288, 4096, 16, 63351712508805120, 2377900603251621888, 4398046511104, 5066549580791808, 576460752303423488, 4611686018427387904)",1,f2g3,human
"(71005651712, 129, 2099200, 36028797018963968, 4096, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 1125899906842624, 4611686018427387904)",1,d3h7,human
"(71005651712, 129, 274877908992, 0, 4096, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 1125899906842624, 36028797018963968)",1,f3g5,human
"(71005651712, 33, 274877908992, 0, 4096, 64, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 1125899906842624, 140737488355328)",1,e1g1,human
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d2d4,human
"(134280960, 129, 66, 536870944, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c1f4,human
"(135325440, 129, 66, 536870944, 8, 16, 69524353607270400, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,e2e3,human
"(135586560, 129, 66, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c2c3,human
"(135586560, 129, 2097154, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,g1f3,human
"(135586560, 129, 2099200, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,b1d2,human
"(135586560, 129, 2099200, 4194336, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",1,f4g3,human
"(135586560, 129, 2099200, 4718592, 8, 16, 63912463438970880, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,f1d3,human
"(135586560, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,d1e2,human
"(402973440, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 571746046443520, 576460752303423488, 4611686018427387904)",1,e3e4,human
"(68854014720, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 39582418599936, 5066549580791808, 576460752303423488, 4611686018427387904)",1,e4e5,human
"(71001465600, 129, 2099200, 4718592, 4096, 16, 63351712508805120, 2377900603251621888, 4947802324992, 5066549580791808, 576460752303423488, 4611686018427387904)",1,h2h4,human
"(71005651712, 129, 2099200, 524288, 4096, 16, 63351712508805120, 2377900603251621888, 4398046511104, 5066549580791808, 576460752303423488, 4611686018427387904)",1,f2g3,human
"(71005651712, 129, 2099200, 36028797018963968, 4096, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 4611686018427387904)",1,d3h7,human
"(71005651712, 129, 274877908992, 0, 4096, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 36028797018963968)",1,f3g5,human
"(71005651712, 129, 274877908992, 0, 524288, 16, 27322915489841152, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 140737488355328)",1,e2d3,human
"(618613981952, 129, 274877908992, 0, 524288, 16, 9378885724536832, 2377900603251621888, 4398046511104, 5066549580791808, 144115188075855872, 140737488355328)",1,h4h5,human
"(70368882868992, 129, 274877908992, 0, 524288, 16, 9308516980359168, 2377900603251621888, 68719476736, 5066549580791808, 144115188075855872, 140737488355328)",1,h5g6,human
"(70368882868992, 129, 2048, 0, 1048576, 16, 9308516980359168, 2377900603251621888, 68719476736, 5066549580791808, 144115188075855872, 274877906944)",1,d3e3,human
"(70368882868992, 129, 2048, 0, 536870912, 16, 9308516980359168, 2377900603251621888, 68719476736, 5066549580791808, 144115188075855872, 35184372088832)",1,e3f4,human
"(138691328, 129, 2048, 0, 140737488355328, 16, 9308516980359168, 2377900603251621888, 68719476736, 5066549580791808, 144115188075855872, 70368744177664)",1,f4h6,human
"(138691328, 549755813889, 2048, 0, 140737488355328, 16, 9308516980359168, 2377900603251621888, 68719476736, 5066549580791808, 144115188075855872, 137438953472)",1,h1h5,human
"(138691328, 274877906945, 2048, 0, 140737488355328, 16, 9308516980359168, 2377900603251621888, 68719476736, 5066549580791808, 144115188075855872, 1073741824)",1,h5g5,human
"(138691328, 1, 2048, 0, 8388608, 16, 9308516980359168, 2377900603251621888, 68719476736, 563224831328256, 144115188075855872, 1073741824)",1,h6h3,human
"(134280960, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d2d4,human
"(134280960, 129, 66, 536870944, 8, 16, 71776119061217280, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c1f4,human
"(135325440, 129, 66, 536870944, 8, 16, 69524353607270400, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,e2e3,human
"(135586560, 129, 66, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c2c3,human
"(135586560, 129, 2097154, 536870944, 8, 16, 68398470880296960, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,g1f3,human
"(135586560, 129, 2099200, 536870944, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,b1d2,human
"(135586560, 129, 2099200, 4194336, 8, 16, 63912463438970880, 9295429630892703744, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",1,f4g3,human
"(135586560, 129, 2099200, 4718592, 8, 16, 63912463438970880, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,f1d3,human
"(135586560, 129, 68719478784, 4718592, 8, 16, 63351712508805120, 2377900603251621888, 39582418599936, 288239172244733952, 576460752303423488, 4611686018427387904)",1,f3e5,human
"(672449280, 129, 68719478784, 4718592, 8, 16, 63351712508805120, 2377900603251621888, 39582418599936, 571746046443520, 576460752303423488, 4611686018427387904)",1,f2f4,human
"(672449280, 129, 68719478784, 4718592, 2097152, 16, 63351712508805120, 2377900603251621888, 4538783999459328, 571746046443520, 576460752303423488, 4611686018427387904)",1,d1f3,human
"(672449280, 129, 68719478784, 532480, 2097152, 16, 63351712508805120, 2377900603251621888, 35321811042304, 571746046443520, 576460752303423488, 4611686018427387904)",1,g3f2,human
"(1746174720, 129, 68719478784, 532480, 2097152, 16, 63351712508805120, 2377900603251621888, 35321811042304, 5066549580791808, 576460752303423488, 4611686018427387904)",1,g2g4,human
"(275550339840, 129, 68719478784, 532480, 2097152, 16, 63351712508805120, 2377900603251621888, 43980465111040, 5066549580791808, 576460752303423488, 4611686018427387904)",1,g4g5,human
"(275550339840, 136, 68719478784, 532480, 2097152, 4, 63351712508805120, 2377900603251621888, 8796361457664, 5066549580791808, 576460752303423488, 4611686018427387904)",1,e1c1,human
