state,color,move,player
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69533115340554240, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e2e4,human
"(402712320, 129, 66, 36, 8, 16, 69533115340554240, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(402712320, 129, 2097154, 36, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,b1c3,human
"(402712320, 129, 2359296, 36, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 306244774661193728, 576460752303423488, 1152921504606846976)",0,f1c4,human
"(402712320, 129, 2359296, 67108868, 8, 16, 51589085575249920, 2377900603251621888, 144150372447944704, 306244774661193728, 576460752303423488, 4611686018427387904)",0,c1f4,human
"(134276864, 129, 2359296, 603979776, 8, 16, 51589085575249920, 2377900603251621888, 144115188344291328, 306244774661193728, 576460752303423488, 4611686018427387904)",0,d1d2,human
"(134276864, 129, 2359296, 603979776, 0, 16, 51589085575249920, 2377900603251621888, 144115188075857920, 306244774661193728, 576460752303423488, 4611686018427387904)",0,f4d2,human
"(59136, 129, 2359296, 67110912, 0, 16, 51589085575249920, 2377900603251621888, 144115188075855872, 288230376285929472, 576460752303423488, 4611686018427387904)",0,f3d4,human
"(59136, 129, 134479872, 67110912, 0, 16, 51307614893506560, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(59136, 33, 134479872, 67110912, 0, 64, 50744673530019840, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,c3b5,human
"(59136, 33, 8724152320, 67110912, 0, 64, 49618782213111808, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,b5c7,human
"(59136, 33, 1125899906842624, 67110912, 0, 64, 49618765167460352, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,c7a8,human
"(59136, 33, 72057594037927936, 67110912, 0, 64, 45115234259566592, 2305843009213693952, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,a8b6,human
"(59136, 33, 0, 67110912, 0, 64, 45115234259566592, 2305843009213693952, 144115188075855872, 288230376151711744, 2199023255552, 4611686018427387904)",0,b2b3,human
"(58624, 33, 0, 67110912, 0, 64, 45115234259566592, 2305843009213693952, 144115188075855872, 288230376151711744, 131072, 4611686018427387904)",0,c2b3,human
"(188672, 33, 0, 67110912, 0, 64, 9086986996416512, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,f1e1,human
"(188672, 17, 0, 67110912, 0, 64, 9086986862723072, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,c4d5,human
"(188672, 17, 0, 34359740416, 0, 64, 9086982584532992, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,b3b4,human
"(33612032, 17, 0, 34359740416, 0, 64, 9086982567821312, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,d2c1,human
"(33612032, 17, 0, 34359738372, 0, 64, 9086982567299072, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,c1d2,human
"(33612032, 17, 0, 34359740416, 0, 64, 9086914116255744, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,b4b5,human
"(8589992192, 17, 0, 34359740416, 0, 64, 9086913848868864, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,d2b4,human
"(8589984000, 17, 0, 34393292800, 0, 64, 9086913847828480, 2305843009213693952, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,g1f1,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(65280, 129, 2097154, 36, 8, 16, 69533115340554240, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,b1c3,human
"(65280, 129, 2359296, 36, 8, 16, 69533115340554240, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e2e4,human
"(268496640, 129, 2359296, 36, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,f1c4,human
"(268496640, 129, 2359296, 67108868, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 306244774661193728, 576460752303423488, 1152921504606846976)",0,d2d3,human
"(269018880, 129, 2359296, 67108868, 8, 16, 51589085575249920, 2377900603251621888, 144150372447944704, 306244774661193728, 576460752303423488, 4611686018427387904)",0,c1f4,human
"(583424, 129, 2359296, 603979776, 8, 16, 51589085575249920, 2377900603251621888, 144115188344291328, 306244774661193728, 576460752303423488, 4611686018427387904)",0,d3e4,human
"(268494592, 129, 2097152, 603979776, 8, 16, 51589085575249920, 2377900603251621888, 144115188075855872, 288230376151973888, 576460752303423488, 4611686018427387904)",0,b2c3,human
"(268756224, 129, 2097152, 603979776, 8, 16, 51307614893506560, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(268756224, 33, 2097152, 603979776, 8, 64, 50744673530019840, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,c4b5,human
"(268756224, 33, 2097152, 9126805504, 8, 64, 49618782213111808, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,d1d5,human
"(268756224, 33, 2097152, 9126805504, 34359738368, 64, 45115251305218048, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,d5a8,human
"(268756224, 33, 2097152, 8589934592, 72057594037927936, 64, 45115183122612224, 2305843009213693952, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,a8b8,human
"(268756224, 33, 2097152, 8589934592, 144115188075855872, 64, 36108121306824704, 2305843009213693952, 0, 288230376151711744, 576460752303423488, 4611686018427387904)",0,e4f5,human
"(320768, 33, 2097152, 8589934592, 144115188075855872, 64, 36037752562647040, 2305843009213693952, 0, 288230376151711744, 576460752303423488, 4611686018427387904)",0,f1e1,human
"(320768, 17, 2097152, 8589934592, 144115188075855872, 64, 9505299496960, 2305843009213693952, 0, 288230376151711744, 576460752303423488, 4611686018427387904)",0,e1e6,human
"(320768, 1, 2097152, 8589934592, 144115188075855872, 64, 9505299496960, 2305843009213693952, 0, 17592186044416, 576460752303423488, 4611686018427387904)",0,a1e1,human
"(320768, 16, 2097152, 8589934592, 0, 64, 9505299496960, 2305843009213693952, 0, 17592186044416, 144115188075855872, 4611686018427387904)",0,e1e6,human
"(320768, 17592186044416, 2097152, 0, 0, 64, 9505299496960, 2305843009213693952, 0, 0, 8589934592, 4611686018427387904)",0,e6d6,human
"(320768, 8796093022208, 2097152, 0, 0, 64, 704928284672, 2305843009213693952, 0, 0, 8589934592, 4611686018427387904)",0,f3g5,human
"(320768, 8796093022208, 274877906944, 0, 0, 64, 704911572992, 2305843009213693952, 0, 0, 8589934592, 4611686018427387904)",0,g5e6,human
"(320768, 8796093022208, 17592186044416, 0, 0, 64, 704376799232, 2305843009213693952, 0, 0, 8589934592, 4611686018427387904)",0,e6f8,human
"(320768, 8796093022208, 0, 0, 0, 64, 704376799232, 0, 0, 0, 8589934592, 2305843009213693952)",0,h2h3,human
"(8660224, 8796093022208, 0, 0, 0, 64, 704374718464, 0, 0, 0, 8589934592, 2305843009213693952)",0,g1g2,human
"(8660224, 8796093022208, 0, 0, 0, 16384, 687261941760, 0, 0, 0, 8589934592, 2305843009213693952)",0,d6f6,human
"(8660224, 35184372088832, 0, 0, 0, 16384, 687261941760, 0, 0, 0, 8589934592, 4503599627370496)",0,f6h6,human
"(8660224, 140737488355328, 0, 0, 0, 16384, 550359859200, 0, 0, 0, 8589934592, 4503599627370496)",0,f2f3,human
"(10749184, 140737488355328, 0, 0, 0, 16384, 2751528960, 0, 0, 0, 8589934592, 4503599627370496)",0,h6h4,human
"(10749184, 2147483648, 0, 0, 0, 16384, 604045312, 0, 0, 0, 2, 4503599627370496)",0,h4f4,human
"(10748928, 536870912, 0, 0, 0, 16384, 67174400, 0, 0, 0, 256, 4503599627370496)",0,f4e4,human
"(10748928, 268435456, 0, 0, 0, 16384, 67174400, 0, 0, 0, 256, 8796093022208)",0,e4d4,human
"(10748928, 134217728, 0, 0, 0, 16384, 67174400, 0, 0, 0, 256, 17179869184)",0,f3f4,human
"(545521664, 134217728, 0, 0, 0, 16384, 67174400, 0, 0, 0, 1024, 17179869184)",0,g2g3,human
"(545259520, 134217728, 0, 0, 0, 4194304, 67174400, 0, 0, 0, 262144, 17179869184)",0,g3g4,human
"(545259520, 0, 0, 0, 0, 1073741824, 67174400, 0, 0, 0, 134217728, 17179869184)",0,g4g5,human
"(8388608, 0, 0, 0, 0, 274877906944, 67174400, 0, 0, 0, 536870912, 17179869184)",0,g5f4,human
"(8388608, 0, 0, 0, 0, 536870912, 67109120, 0, 0, 0, 0, 17179869184)",0,h3h4,human
"(2147483648, 0, 0, 0, 0, 536870912, 67108864, 0, 0, 0, 1, 17179869184)",0,h4h5,human
"(549755813888, 0, 0, 0, 0, 536870912, 262144, 0, 0, 0, 1, 17179869184)",0,h5h6,human
"(140737488355328, 0, 0, 0, 0, 536870912, 1024, 0, 0, 0, 1, 17179869184)",0,h6h7,human
"(36028797018963968, 0, 0, 0, 0, 536870912, 0, 0, 0, 0, 5, 17179869184)",0,f4f5,human
"(36028797018963968, 0, 0, 0, 0, 137438953472, 0, 0, 0, 0, 6, 17179869184)",0,f5f6,human
"(0, 0, 0, 0, 0, 35184372088832, 0, 0, 0, 0, 36028797018963972, 17179869184)",0,f6e6,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e2e4,human
"(268496640, 129, 66, 36, 8, 16, 69533115340554240, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,b1c3,human
"(268496640, 129, 262208, 36, 8, 16, 69533115340554240, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,f1c4,human
"(268496640, 129, 262208, 67108868, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d3,human
"(269018880, 129, 262208, 67108868, 8, 16, 51589085575249920, 9295429630892703744, 144150372447944704, 306244774661193728, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(269018880, 129, 2359296, 67108868, 8, 16, 51589085575249920, 2377900603251621888, 144150372447944704, 306244774661193728, 576460752303423488, 4611686018427387904)",0,c1e3,human
"(583424, 129, 2359296, 68157440, 8, 16, 51589085575249920, 2377900603251621888, 144115188344291328, 306244774661193728, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(583424, 33, 2097152, 68157440, 8, 64, 51589085575249920, 2377900603251621888, 144115188076118016, 306244774661193728, 576460752303423488, 4611686018427387904)",0,b2c3,human
"(582912, 33, 2097152, 68157440, 8, 64, 51589085575249920, 2377900603251621888, 144115188075855872, 288230376151973888, 576460752303423488, 4611686018427387904)",0,a1c1,human
"(582912, 36, 2097152, 68157440, 8, 64, 51307614893506560, 2377900603251621888, 144115188075855872, 288230376151973888, 576460752303423488, 4611686018427387904)",0,e3d2,human
"(582912, 36, 2097152, 67108864, 8, 64, 51307614893506560, 2377900603251621888, 144115188075855872, 288230376151713792, 576460752303423488, 4611686018427387904)",0,d1d2,human
"(582912, 36, 2097152, 67108864, 2048, 64, 50744673530019840, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,c4b5,human
"(582912, 36, 2097152, 8589934592, 2048, 64, 49618782213111808, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,f1e1,human
"(582912, 20, 2097152, 8589934592, 2048, 64, 45115251305218048, 2377900603251621888, 144115188075855872, 288230376151711744, 576460752303423488, 4611686018427387904)",0,f3g5,human
"(582912, 20, 0, 8589934592, 2048, 64, 45115251305218048, 2377900603251621888, 144115188075855872, 288230376151711744, 274877906944, 4611686018427387904)",0,d2g5,human
"(582912, 20, 0, 8589934592, 274877906944, 64, 36108189489430528, 2377900603251621888, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,g5e7,human
"(582912, 20, 0, 8589934592, 4503599627370496, 64, 79942226280448, 2377900603251621888, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,e7d6,human
"(582912, 20, 0, 8589934592, 8796093022208, 64, 71141855068160, 2377900603251621888, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,e1e5,human
"(582912, 68719476740, 0, 8589934592, 8796093022208, 64, 71073118879744, 2377900603251621888, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,e5e7,human
"(582912, 4503599627370500, 0, 8589934592, 8796093022208, 64, 71056006119424, 2377900603251621888, 144115188075855872, 288230376151711744, 0, 4611686018427387904)",0,d6g6,human
"(582912, 4503599627370500, 0, 8589934592, 70368744177664, 64, 687261941760, 2377900603251621888, 144115188075855872, 288230376151711744, 0, 9223372036854775808)",0,g6h7,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
