state,color,move,player
"(33619200, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d7d5,human
"(33619200, 129, 66, 544, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c8f5,human
"(33619200, 129, 65600, 544, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,e7e6,human
"(33619200, 129, 65600, 35184372088864, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,d8f6,human
"(1107344640, 129, 65600, 32, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2305843146652647424, 35184372088832, 1152921504606846976)",1,f5g4,human
"(33602816, 129, 65600, 16384, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2305843010287435776, 35184372088832, 1152921504606846976)",1,f8b4,human
"(48384, 129, 65600, 2097152, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 1107296256, 35184372088832, 1152921504606846976)",1,g4f5,human
"(268479744, 129, 65600, 2097152, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 137472507904, 35184372088832, 1152921504606846976)",1,d5e4,human
"(44288, 129, 65600, 2097152, 8, 4096, 65038312074641408, 9295429630892703744, 4755801206503243776, 137472507904, 35184372088832, 1152921504606846976)",1,e4f3,human
"(44288, 129, 65600, 0, 8, 16, 65038311808303104, 9295429630892703744, 4755801206503243776, 137472507904, 35184372088832, 1152921504606846976)",1,f5e4,human
"(44288, 129, 65600, 0, 2, 16, 65038311808303104, 9295429630892703744, 4755801206503243776, 301989888, 35184372088832, 1152921504606846976)",1,a7a5,human
"(44288, 129, 69632, 0, 2, 16, 64756841126559744, 9295429630892703744, 4755801206503243776, 301989888, 35184372088832, 1152921504606846976)",1,f3e2,human
"(587520, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d7d5,human
"(587520, 129, 8388610, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c8f5,human
"(134280960, 129, 8388610, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,e7e6,human
